run_idx,repeat,query,query_category,source,source_name,recipe_title,recipe_url,extraction_method,has_title,has_ingredients,has_instructions,has_image,ingredient_count,instruction_count,completeness_score,formatting_artifact
9,1,chocolate cake,dessert,serious,Serious Eats,This German Chocolate Cake Recipe Has Thick Coconut-Pecan Frosting in Every Bite,https://www.seriouseats.com/german-chocolate-cake-recipe-11916175,Mirror markdown parsing,1,1,1,0,20,14,1.0,0
9,1,chocolate cake,dessert,serious,Serious Eats,Molten Chocolate Cake Recipe,https://www.seriouseats.com/molten-chocolate-cake-for-two-dessert-recipe,Mirror markdown parsing,1,1,1,1,11,5,1.0,0
10,1,beef stew,main,bbc,BBC Food,Easy slow cooker beef stew,https://www.bbc.co.uk/food/recipes/slow_cooker_beef_stew_24305,Schema.org JSON-LD,1,1,1,1,15,3,1.0,0
10,1,beef stew,main,bbc,BBC Food,Beef stew and dumplings,https://www.bbc.co.uk/food/recipes/beefstewwithdumpling_87333,Schema.org JSON-LD,1,1,1,1,24,9,1.0,0
13,1,mushroom soup,main,bbc,BBC Food,Mushroom soup with garlic bread,https://www.bbc.co.uk/food/recipes/wild_mushroom_soup_with_65367,Schema.org JSON-LD,1,1,1,0,15,9,1.0,0
13,1,mushroom soup,main,bbc,BBC Food,Creamy mushroom soup,https://www.bbc.co.uk/food/recipes/mushroomsoup_83366,Schema.org JSON-LD,1,1,1,0,10,5,1.0,0
16,1,salmon,main,bbc,BBC Food,How to cook salmon,https://www.bbc.co.uk/food/recipes/how_to_cook_salmon_70504,Schema.org JSON-LD,1,1,1,1,11,8,1.0,0
16,1,salmon,main,bbc,BBC Food,Salmon in pastry,https://www.bbc.co.uk/food/recipes/salmon_in_pastry_84486,Schema.org JSON-LD,1,1,1,0,24,11,1.0,0
19,1,lentil dal,main,bbc,BBC Food,Chana dal with crispy tarka,https://www.bbc.co.uk/food/recipes/chana_daal_with_tarka_62765,Schema.org JSON-LD,1,1,1,1,18,6,1.0,0
19,1,lentil dal,main,bbc,BBC Food,Dosa with potato filling,https://www.bbc.co.uk/food/recipes/dosa_potato_filling_77669,Schema.org JSON-LD,1,1,1,1,37,11,1.0,0
22,1,apple pie,dessert,bbc,BBC Food,Perfect apple pie,https://www.bbc.co.uk/food/recipes/perfect_apple_pie_73735,Schema.org JSON-LD,1,1,1,1,9,11,1.0,0
22,1,apple pie,dessert,bbc,BBC Food,Apple and blackberry pie,https://www.bbc.co.uk/food/recipes/apple_and_blackberry_pie_80942,Schema.org JSON-LD,1,1,1,1,10,13,1.0,0
25,1,lasagne,main,bbc,BBC Food,Lasagne al forno,https://www.bbc.co.uk/food/recipes/mary_berrys_lasagne_al_16923,Schema.org JSON-LD,1,1,1,1,19,10,1.0,0
25,1,lasagne,main,bbc,BBC Food,Express lasagne,https://www.bbc.co.uk/food/recipes/express_lasagne_51375,Schema.org JSON-LD,1,1,1,1,17,8,1.0,0
28,1,thai curry,main,bbc,BBC Food,Easy Thai green curry,https://www.bbc.co.uk/food/recipes/thaigreencurry_67788,Schema.org JSON-LD,1,1,1,1,10,4,1.0,0
28,1,thai curry,main,bbc,BBC Food,Chicken Thai green curry with aubergine,https://www.bbc.co.uk/food/recipes/thai_green_curry_65278,Schema.org JSON-LD,1,1,1,0,27,4,1.0,0
